ATM	ATM	0.000000
ATM	p53	0.004420
ATM	Mdm2	0.023967
ATM	MdmX	0.058957
ATM	Wip1	0.020483
ATM	cyclinG	0.000000
ATM	PTEN	0.000000
ATM	p21	0.000000
ATM	AKT	0.024693
ATM	cyclinE	0.032538
ATM	Rb	0.001435
ATM	E2F1	0.005654
ATM	p14ARF	0.003763
ATM	Bcl2	0.029890
ATM	Bax	0.000000
ATM	caspase	0.000934
p53	ATM	0.084190
p53	p53	0.000000
p53	Mdm2	0.032249
p53	MdmX	0.101541
p53	Wip1	0.120077
p53	cyclinG	0.000000
p53	PTEN	0.000000
p53	p21	0.000000
p53	AKT	0.139546
p53	cyclinE	0.003040
p53	Rb	0.000000
p53	E2F1	0.020670
p53	p14ARF	0.120336
p53	Bcl2	0.057773
p53	Bax	0.000000
p53	caspase	0.049236
Mdm2	ATM	0.025155
Mdm2	p53	0.000000
Mdm2	Mdm2	0.000000
Mdm2	MdmX	0.033538
Mdm2	Wip1	0.024094
Mdm2	cyclinG	0.000000
Mdm2	PTEN	0.000000
Mdm2	p21	0.000000
Mdm2	AKT	0.012836
Mdm2	cyclinE	0.005345
Mdm2	Rb	0.005686
Mdm2	E2F1	0.001786
Mdm2	p14ARF	0.026978
Mdm2	Bcl2	0.000456
Mdm2	Bax	0.000000
Mdm2	caspase	0.042018
MdmX	ATM	0.046067
MdmX	p53	0.003034
MdmX	Mdm2	0.008630
MdmX	MdmX	0.000000
MdmX	Wip1	0.012283
MdmX	cyclinG	0.000000
MdmX	PTEN	0.000000
MdmX	p21	0.000000
MdmX	AKT	0.081338
MdmX	cyclinE	0.018748
MdmX	Rb	0.012206
MdmX	E2F1	0.034212
MdmX	p14ARF	0.034059
MdmX	Bcl2	0.043087
MdmX	Bax	0.000000
MdmX	caspase	0.000484
Wip1	ATM	0.036378
Wip1	p53	0.004017
Wip1	Mdm2	0.007830
Wip1	MdmX	0.084210
Wip1	Wip1	0.000000
Wip1	cyclinG	0.000000
Wip1	PTEN	0.000000
Wip1	p21	0.000000
Wip1	AKT	0.254021
Wip1	cyclinE	0.000893
Wip1	Rb	0.001915
Wip1	E2F1	0.023294
Wip1	p14ARF	0.190404
Wip1	Bcl2	0.068325
Wip1	Bax	0.000000
Wip1	caspase	0.000085
cyclinG	ATM	0.000000
cyclinG	p53	0.000000
cyclinG	Mdm2	0.000000
cyclinG	MdmX	0.000000
cyclinG	Wip1	0.000000
cyclinG	cyclinG	0.000000
cyclinG	PTEN	0.000000
cyclinG	p21	0.000000
cyclinG	AKT	0.000000
cyclinG	cyclinE	0.000000
cyclinG	Rb	0.000000
cyclinG	E2F1	0.000000
