ATM	ATM	0.000000
ATM	p53	0.033873
ATM	Mdm2	0.008097
ATM	MdmX	0.001610
ATM	Wip1	0.010129
ATM	cyclinG	0.010129
ATM	PTEN	0.010129
ATM	p21	0.010355
ATM	AKT	0.008456
ATM	cyclinE	0.008611
ATM	Rb	0.062883
ATM	E2F1	0.006855
ATM	p14ARF	0.000065
ATM	Bcl2	0.005538
ATM	Bax	0.002974
ATM	caspase	0.005677
p53	ATM	0.000009
p53	p53	0.000000
p53	Mdm2	0.190979
p53	MdmX	0.082010
p53	Wip1	0.896013
p53	cyclinG	0.896013
p53	PTEN	0.896013
p53	p21	0.829399
p53	AKT	0.105587
p53	cyclinE	0.113525
p53	Rb	0.044114
p53	E2F1	0.007771
p53	p14ARF	0.414969
p53	Bcl2	0.117349
p53	Bax	0.475128
p53	caspase	0.021942
Mdm2	ATM	0.000118
Mdm2	p53	0.553613
Mdm2	Mdm2	0.000000
Mdm2	MdmX	0.291332
Mdm2	Wip1	0.078050
Mdm2	cyclinG	0.078050
Mdm2	PTEN	0.078050
Mdm2	p21	0.097345
Mdm2	AKT	0.025070
Mdm2	cyclinE	0.021576
Mdm2	Rb	0.071176
Mdm2	E2F1	0.113225
Mdm2	p14ARF	0.002880
Mdm2	Bcl2	0.023534
Mdm2	Bax	0.042363
Mdm2	caspase	0.115582
MdmX	ATM	0.000011
MdmX	p53	0.202416
MdmX	Mdm2	0.232787
MdmX	MdmX	0.000000
MdmX	Wip1	0.054811
MdmX	cyclinG	0.054811
MdmX	PTEN	0.054811
MdmX	p21	0.048070
MdmX	AKT	0.039165
MdmX	cyclinE	0.038739
MdmX	Rb	0.004361
MdmX	E2F1	0.029485
MdmX	p14ARF	0.045895
MdmX	Bcl2	0.109869
MdmX	Bax	0.041382
MdmX	caspase	0.002163
Wip1	ATM	0.001248
Wip1	p53	0.085971
Wip1	Mdm2	0.204253
Wip1	MdmX	0.097647
Wip1	Wip1	0.000000
Wip1	cyclinG	0.005673
Wip1	PTEN	0.005673
Wip1	p21	0.006154
Wip1	AKT	0.605977
Wip1	cyclinE	0.564093
Wip1	Rb	0.018615
Wip1	E2F1	0.263517
Wip1	p14ARF	0.326277
Wip1	Bcl2	0.056982
Wip1	Bax	0.015897
Wip1	caspase	0.126560
cyclinG	ATM	0.023633
cyclinG	p53	0.085971
cyclinG	Mdm2	0.204253
cyclinG	MdmX	0.091990
cyclinG	Wip1	0.005673
cyclinG	cyclinG	0.000000
cyclinG	PTEN	0.005673
cyclinG	p21	0.006154
cyclinG	AKT	0.605977
cyclinG	cyclinE	0.564093
cyclinG	Rb	0.018615
cyclinG	E2F1	0.263517
cyclinG	p14ARF	0.289179
cyclinG	Bcl2	0.056982
cyclinG	Bax	0.015897
cyclinG	caspase	0.126560
PTEN	ATM	0.001248
PTEN	p53	0.085971
PTEN	Mdm2	0.189421
PTEN	MdmX	0.091990
PTEN	Wip1	0.005673
PTEN	cyclinG	0.005673
PTEN	PTEN	0.000000
PTEN	p21	0.006154
PTEN	AKT	0.909308
PTEN	cyclinE	0.564093
PTEN	Rb	0.018615
PTEN	E2F1	0.263517
PTEN	p14ARF	0.289179
PTEN	Bcl2	0.056982
PTEN	Bax	0.015897
PTEN	caspase	0.126560
p21	ATM	0.001031
p21	p53	0.084724
p21	Mdm2	0.187902
p21	MdmX	0.089429
p21	Wip1	0.012256
p21	cyclinG	0.012256
p21	PTEN	0.012256
p21	p21	0.000000
p21	AKT	0.570609
p21	cyclinE	0.898055
p21	Rb	0.018093
p21	E2F1	0.250791
p21	p14ARF	0.273580
p21	Bcl2	0.063314
p21	Bax	0.018188
p21	caspase	0.104973
AKT	ATM	0.000052
AKT	p53	0.092753
AKT	Mdm2	0.050244
AKT	MdmX	0.127864
AKT	Wip1	0.044208
AKT	cyclinG	0.044208
AKT	PTEN	0.044208
AKT	p21	0.036706
AKT	AKT	0.000000
AKT	cyclinE	0.010518
AKT	Rb	0.065796
AKT	E2F1	0.207939
AKT	p14ARF	0.018287
AKT	Bcl2	0.336156
AKT	Bax	0.004017
AKT	caspase	0.191825
cyclinE	ATM	0.000032
cyclinE	p53	0.092529
cyclinE	Mdm2	0.100640
cyclinE	MdmX	0.079301
cyclinE	Wip1	0.042611
cyclinE	cyclinG	0.042611
cyclinE	PTEN	0.042611
cyclinE	p21	0.047225
cyclinE	AKT	0.016977
cyclinE	cyclinE	0.000000
cyclinE	Rb	0.039038
cyclinE	E2F1	0.195599
cyclinE	p14ARF	0.010968
cyclinE	Bcl2	0.169674
cyclinE	Bax	0.004971
cyclinE	caspase	0.167478
Rb	ATM	0.000020
Rb	p53	0.019283
Rb	Mdm2	0.009778
Rb	MdmX	0.035698
Rb	Wip1	0.012012
Rb	cyclinG	0.012012
Rb	PTEN	0.012012
Rb	p21	0.010230
Rb	AKT	0.046475
Rb	cyclinE	0.049612
Rb	Rb	0.000000
Rb	E2F1	0.029553
Rb	p14ARF	0.030305
Rb	Bcl2	0.028855
Rb	Bax	0.004903
Rb	caspase	0.013321
E2F1	ATM	0.023138
E2F1	p53	0.049081
